ena_accession	sample	unit	fq1	fq2	host	country	variant.data
ERR1081346	DOG14-5	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081346_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081346_2.fastq.gz	Dog	Chad	MIT
ERR1081347	DOG14-6	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081347_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081347_2.fastq.gz	Dog	Chad	MIT
ERR1081348	DOG14-7	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081348_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081348_2.fastq.gz	Dog	Chad	MIT
ERR1081351	DOG15-2	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081351_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081351_2.fastq.gz	Dog	Chad	MIT
ERR1081354	DOG15-7	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081354_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081354_2.fastq.gz	Dog	Chad	MIT
ERR1081355	DOG15-8	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081355_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081355_2.fastq.gz	Dog	Chad	MIT
ERR273914	PDB12-40	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273914_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273914_2.fastq.gz	Dog	Chad	MIT
ERR273912	PDB12-37	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273912_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273912_2.fastq.gz	Dog	Chad	MIT
ERR273915	PDB12-42	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273915_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273915_2.fastq.gz	Dog	Chad	MIT
ERR273916	PDB12-43	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273916_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273916_2.fastq.gz	Dog	Chad	MIT
ERR349721	PDB13-8	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349721_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349721_2.fastq.gz	Dog	Chad	MIT
ERR349722	PDB12-58	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349722_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349722_2.fastq.gz	Human	Chad	MIT
ERR349730	PDB12-67	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349730_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349730_2.fastq.gz	Dog	Chad	MIT
ERR349727	PDB13-17	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349727_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349727_2.fastq.gz	Human	Chad	MIT
ERR349733	PDB13-27	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349733_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349733_2.fastq.gz	Dog	Chad	MIT
ERR349734	PDB13-27	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349734_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR349734_2.fastq.gz	Dog	Chad	MIT
ERR1081332	PDB14-100	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081332_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081332_2.fastq.gz	Human	Chad	MIT
ERR1081323	PDB14-283	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081323_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081323_2.fastq.gz	Human	Chad	MIT
ERR1081333	PDB14-68	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081333_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081333_2.fastq.gz	Human	Chad	MIT
ERR1081360	PDB15-18	1	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081360_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1081360_2.fastq.gz	Human	Chad	MIT
ERR1243216	DOG15-2	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243216_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243216_2.fastq.gz	Dog	Chad	MIT
ERR1243219	DOG15-8	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243219_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243219_2.fastq.gz	Dog	Chad	MIT
ERR273936	PDB12-40	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273936_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273936_2.fastq.gz	Dog	Chad	MIT
ERR273934	PDB12-37	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273934_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273934_2.fastq.gz	Dog	Chad	MIT
